district,District,Country,District_code
2619,Pernambuco_rural,BRA,605
2623,Pernambuco_rural,BRA,606
2202,Piauí_capital,BRA,607
2201,Piauí_capital,BRA,608
2203,Piauí_capital,BRA,609
2209,Piauí_resto_uf,BRA,610
2208,Piauí_resto_uf,BRA,611
2205,Piauí_resto_uf,BRA,612
2207,Piauí_resto_uf,BRA,613
2204,Piauí_resto_uf,BRA,614
2206,Piauí_resto_uf,BRA,615
2213,Piauí_rural,BRA,616
2214,Piauí_rural,BRA,617
2210,Piauí_rural,BRA,618
2216,Piauí_rural,BRA,619
2217,Piauí_rural,BRA,620
2215,Piauí_rural,BRA,621
2211,Piauí_rural,BRA,622
2212,Piauí_rural,BRA,623
3307,Rio De Janeiro_capital,BRA,624
3308,Rio De Janeiro_capital,BRA,625
3305,Rio De Janeiro_capital,BRA,626
3302,Rio De Janeiro_capital,BRA,627
3309,Rio De Janeiro_capital,BRA,628
3301,Rio De Janeiro_capital,BRA,629
3304,Rio De Janeiro_capital,BRA,630
3303,Rio De Janeiro_capital,BRA,631
3306,Rio De Janeiro_capital,BRA,632
3317,Rio De Janeiro_resto_rm,BRA,633
3316,Rio De Janeiro_resto_rm,BRA,634
3310,Rio De Janeiro_resto_rm,BRA,635
3314,Rio De Janeiro_resto_rm,BRA,636
3315,Rio De Janeiro_resto_rm,BRA,637
3311,Rio De Janeiro_resto_rm,BRA,638
3313,Rio De Janeiro_resto_rm,BRA,639
3312,Rio De Janeiro_resto_rm,BRA,640
3318,Rio De Janeiro_resto_rm,BRA,641
3324,Rio De Janeiro_resto_uf,BRA,642
3323,Rio De Janeiro_resto_uf,BRA,643
3328,Rio De Janeiro_resto_uf,BRA,644
3325,Rio De Janeiro_resto_uf,BRA,645
3329,Rio De Janeiro_resto_uf,BRA,646
3319,Rio De Janeiro_resto_uf,BRA,647
3326,Rio De Janeiro_resto_uf,BRA,648
3322,Rio De Janeiro_resto_uf,BRA,649
3327,Rio De Janeiro_resto_uf,BRA,650
3320,Rio De Janeiro_resto_uf,BRA,651
3330,Rio De Janeiro_resto_uf,BRA,652
3321,Rio De Janeiro_resto_uf,BRA,653
3337,Rio De Janeiro_rural,BRA,654
3336,Rio De Janeiro_rural,BRA,655
3334,Rio De Janeiro_rural,BRA,656
3331,Rio De Janeiro_rural,BRA,657
3335,Rio De Janeiro_rural,BRA,658
3332,Rio De Janeiro_rural,BRA,659
3333,Rio De Janeiro_rural,BRA,660
2401,Rio Grande Do Norte_capital,BRA,661
2402,Rio Grande Do Norte_capital,BRA,662
2403,Rio Grande Do Norte_resto_rm,BRA,663
2406,Rio Grande Do Norte_resto_uf,BRA,664
2407,Rio Grande Do Norte_resto_uf,BRA,665
2404,Rio Grande Do Norte_resto_uf,BRA,666
2408,Rio Grande Do Norte_resto_uf,BRA,667
2405,Rio Grande Do Norte_resto_uf,BRA,668
2409,Rio Grande Do Norte_rural,BRA,669
2410,Rio Grande Do Norte_rural,BRA,670
2412,Rio Grande Do Norte_rural,BRA,671
2411,Rio Grande Do Norte_rural,BRA,672
4302,Rio Grande Do Sul_capital,BRA,673
4301,Rio Grande Do Sul_capital,BRA,674
4304,Rio Grande Do Sul_capital,BRA,675
4303,Rio Grande Do Sul_capital,BRA,676
4306,Rio Grande Do Sul_capital,BRA,677
4305,Rio Grande Do Sul_capital,BRA,678
4307,Rio Grande Do Sul_resto_rm,BRA,679
4308,Rio Grande Do Sul_resto_rm,BRA,680
4309,Rio Grande Do Sul_resto_rm,BRA,681
4324,Rio Grande Do Sul_resto_uf,BRA,682
4312,Rio Grande Do Sul_resto_uf,BRA,683
4322,Rio Grande Do Sul_resto_uf,BRA,684
4316,Rio Grande Do Sul_resto_uf,BRA,685
4320,Rio Grande Do Sul_resto_uf,BRA,686
4317,Rio Grande Do Sul_resto_uf,BRA,687
4313,Rio Grande Do Sul_resto_uf,BRA,688
4323,Rio Grande Do Sul_resto_uf,BRA,689
4318,Rio Grande Do Sul_resto_uf,BRA,690
4319,Rio Grande Do Sul_resto_uf,BRA,691
4310,Rio Grande Do Sul_resto_uf,BRA,692
4314,Rio Grande Do Sul_resto_uf,BRA,693
4315,Rio Grande Do Sul_resto_uf,BRA,694
4311,Rio Grande Do Sul_resto_uf,BRA,695
4321,Rio Grande Do Sul_resto_uf,BRA,696
4330,Rio Grande Do Sul_rural,BRA,697
4326,Rio Grande Do Sul_rural,BRA,698
4328,Rio Grande Do Sul_rural,BRA,699
4332,Rio Grande Do Sul_rural,BRA,700
4329,Rio Grande Do Sul_rural,BRA,701
4331,Rio Grande Do Sul_rural,BRA,702
4325,Rio Grande Do Sul_rural,BRA,703
4334,Rio Grande Do Sul_rural,BRA,704
4327,Rio Grande Do Sul_rural,BRA,705
4335,Rio Grande Do Sul_rural,BRA,706
4333,Rio Grande Do Sul_rural,BRA,707
1101,Rondônia_capital,BRA,708
1102,Rondônia_capital,BRA,709
1107,Rondônia_resto_uf,BRA,710
1105,Rondônia_resto_uf,BRA,711
1106,Rondônia_resto_uf,BRA,712
1103,Rondônia_resto_uf,BRA,713
1104,Rondônia_resto_uf,BRA,714
1108,Rondônia_rural,BRA,715
1111,Rondônia_rural,BRA,716
1110,Rondônia_rural,BRA,717
1109,Rondônia_rural,BRA,718
1401,Roraima_capital,BRA,719
1402,Roraima_capital,BRA,720
1403,Roraima_resto_uf,BRA,721
1404,Roraima_rural,BRA,722
1405,Roraima_rural,BRA,723
4201,Santa Catarina_capital,BRA,724
4202,Santa Catarina_capital,BRA,725
4204,Santa Catarina_resto_rm,BRA,726
4203,Santa Catarina_resto_rm,BRA,727
4213,Santa Catarina_resto_uf,BRA,728
4207,Santa Catarina_resto_uf,BRA,729
4212,Santa Catarina_resto_uf,BRA,730
4216,Santa Catarina_resto_uf,BRA,731
4215,Santa Catarina_resto_uf,BRA,732
4209,Santa Catarina_resto_uf,BRA,733
4205,Santa Catarina_resto_uf,BRA,734
4210,Santa Catarina_resto_uf,BRA,735
4211,Santa Catarina_resto_uf,BRA,736
4206,Santa Catarina_resto_uf,BRA,737
4208,Santa Catarina_resto_uf,BRA,738
4217,Santa Catarina_resto_uf,BRA,739
4214,Santa Catarina_resto_uf,BRA,740
4225,Santa Catarina_rural,BRA,741
4223,Santa Catarina_rural,BRA,742
4226,Santa Catarina_rural,BRA,743
4220,Santa Catarina_rural,BRA,744
4222,Santa Catarina_rural,BRA,745
4218,Santa Catarina_rural,BRA,746
4221,Santa Catarina_rural,BRA,747
4224,Santa Catarina_rural,BRA,748
4219,Santa Catarina_rural,BRA,749
2801,Sergipe_capital,BRA,750
2802,Sergipe_capital,BRA,751
2803,Sergipe_resto_rm,BRA,752
2805,Sergipe_resto_uf,BRA,753
2804,Sergipe_resto_uf,BRA,754
2806,Sergipe_resto_uf,BRA,755
2807,Sergipe_rural,BRA,756
2809,Sergipe_rural,BRA,757
2808,Sergipe_rural,BRA,758
2810,Sergipe_rural,BRA,759
3505,São Paulo_capital,BRA,760
3508,São Paulo_capital,BRA,761
3501,São Paulo_capital,BRA,762
3509,São Paulo_capital,BRA,763
3507,São Paulo_capital,BRA,764
3502,São Paulo_capital,BRA,765
3504,São Paulo_capital,BRA,766
3506,São Paulo_capital,BRA,767
3503,São Paulo_capital,BRA,768
